iter	Passed	Remaining
0	7	697
1	12	596
2	17	550
3	21	519
4	26	503
5	31	488
6	34	455
7	37	425
8	39	401
9	42	379
10	44	357
11	46	337
12	47	319
13	49	302
14	50	287
15	52	273
16	54	263
17	55	252
18	56	242
19	58	232
20	59	223
21	60	214
22	61	206
23	62	199
24	64	192
25	65	186
26	66	180
27	68	174
28	69	169
29	70	164
30	71	160
31	73	155
32	74	150
33	75	146
34	76	142
35	77	138
36	79	134
37	80	131
38	81	127
39	82	124
40	84	120
41	84	116
42	85	113
43	86	110
44	88	107
45	89	105
46	90	102
47	92	99
48	93	96
49	94	94
50	95	92
51	97	89
52	98	87
53	99	84
54	100	82
55	101	79
56	102	77
57	103	75
58	105	73
59	106	70
60	107	68
61	109	66
62	110	64
63	111	62
64	112	60
65	114	58
66	115	56
67	116	54
68	117	52
69	118	50
70	120	49
71	121	47
72	123	45
73	124	43
74	126	42
75	127	40
76	128	38
77	129	36
78	131	34
79	132	33
80	133	31
81	135	29
82	136	27
83	138	26
84	139	24
85	140	22
86	141	21
87	142	19
88	144	17
89	145	16
90	146	14
91	147	12
92	148	11
93	150	9
94	151	7
95	152	6
96	153	4
97	155	3
98	156	1
99	157	0
